Concepts	Products and Tools
Agile Development	Amazon Lightsail
Automated Documentation	Anaconda
Automated Testing	Atom
Bitcoin	Camunda
Blockchain	Cassandra
Blockchain Development with Node.js	Confluence
Business Process Modeling	Digital Ocean 
Cloud	Docker
Cloud Native	Docker Swarm
Containers	Eclipse IDE
Cross-Cultural Communication	Etherpad
Cross-Functional Collaboration	FileZilla
Database Views and Stored Procedures	gEdit (Ubuntu text editor)
Deep Learning	Gerrit
Developer Advocacy	Git
Globally Distributed Teams	Github
Internet of Things (IoT)	IntelliJ IDEA IDE
Java Development	JBoss
Leadership	Jenkins
Linux Server Configuration	Jetty
Mobile Development (iOS)	Jira
Model-View-Controller Design	JMeter
Network Function Virtualization	Kubernetes
Neural Networks	LevelDB
Object-Oriented Design and Development	Linux Servers (Centos, Ubuntu)
Object-Relational Mapping	MariaDB
Open Source Advocacy	Maven
Open Source Documentation	Metal as a Service (MAAS)
Open Source Projects	Nano (Linux-based command-line editor)
Open Source Software Licensing	Open Framework for NFV (OPNFV)
Pair Programming	OpenStack
Python Development	Oracle
RESTful API	Pandoc
Technical Writing	Postman and Insomnia (API testing)
Test-Driven Development	PyCharm IDE
Third-Party Authentication	Rancher
UI Design	RedHat OpenShift
Unified Modeling Language (UML)	ReText
	Shutter (screen capture and editing)
	Sonar
	Sphinx
	Spyder IDE
	SQL Server
	Tomcat
	Typora
	WebStorm IDE
